BAY;ROW;Racking Forces Absolute Max(<150 KN);Racking Pitch Forces Absolute Max(<100 KN);Internal lashing force Absolute Max;Twistlock shear forces Absolute Max(<210 KN);Pressure Absolute Max(<848 KN);Lifting Absolute Max(<250 KN)
86;19;59.47;30.6;116.5;193.15;727.94;160.04
82;19;68.25;38.01;121.17;202.99;788.12;137.99
78;19;70.49;37.65;110.78;188.52;741.87;116.57
70;19;78.24;48.07;127.85;215.83;945.05;192.62
66;19;46.21;35.34;94.58;156.98;653.67;65.35
62;19;82.59;33.98;128.27;205.89;817.79;229.46
58;19;44.5;31.75;78.18;128.58;520.64;92.68
54;19;53.33;41.54;104.03;180.22;782.98;126.52
50;19;51.45;35.18;100.56;174.06;725.08;139.69
46;19;74.28;37.6;121.19;196.56;805.52;172.43
42;19;55.46;8.97;0.0;16.86;143.93;27.84
38;19;77.63;50.23;130.59;214.02;934.68;160.86
34;19;65.43;35.81;126.69;219.93;846.98;244.31
30;19;91.81;39.17;161.74;261.37;933.3;292.96
26;19;76.6;49.29;143.81;240.84;924.09;176.46
22;19;68.9;41.84;130.8;218.45;831.54;160.69
18;19;60.08;38.26;123.5;212.7;765.73;130.83
14;19;85.92;49.71;145.17;223.13;887.17;99.48
11;19;41.35;8.23;175.1;98.05;358.61;122.22
9;19;73.26;11.79;172.91;128.57;435.56;173.24
6;19;168.85;57.0;409.05;432.84;1097.81;143.43
